#Procedure: <__main__.MCT_calib>
#Parameters:
#	Zero pressure paro sci period: 2.49138e-05 s
#	AH2500A address: GPIB1::3::INSTR
#	AH2500 avg. exponent: 7
#	Comments/Notes: 
#	HP counter address: GPIB0::9::INSTR
#	counter gate time: 4 s
#Data:
UTC,timestamp,C,Loss,Vex,Period,P_paro
3827754658.352291,2082852447.7935793,31.93,0.04212,0.25,2.601399348832e-05,27.406358676049752
3827754663.5292435,2082852452.9705317,31.9303,0.04197,0.25,2.60139982887e-05,27.40647075301822
3827754668.75323,2082852458.1945183,31.93052,0.04169,0.25,2.60140032844e-05,27.406587390158666
3827754673.906147,2082852463.3474352,31.93072,0.04095,0.25,2.601400644259e-05,27.406661125987025
3827754679.1331406,2082852468.5744288,31.93057,0.04087,0.25,2.601400314222e-05,27.40658407061105
3827754684.319086,2082852473.7603743,31.93036,0.04093,0.25,2.601400149012e-05,27.406545498201634
3827754689.5190053,2082852478.9602935,31.93023,0.04122,0.25,2.601399813046e-05,27.406467058507708
3827754694.6759977,2082852484.117286,31.93013,0.04173,0.25,2.601399734741e-05,27.406448776235944
3827754699.876946,2082852489.3182342,31.9302,0.04207,0.25,2.601399723618e-05,27.40644617929171
3827754705.0688696,2082852494.5101578,31.93018,0.04241,0.25,2.601399697882e-05,27.40644017057477
3827754710.2368507,2082852499.678139,31.93041,0.0427,0.25,2.601400042329e-05,27.406520590381287
3827754715.416777,2082852504.8580654,31.9306,0.04225,0.25,2.601400190056e-05,27.406555080951403
3827754720.590726,2082852510.0320141,31.93061,0.04235,0.25,2.601400179167e-05,27.40655253864168
3827754725.769802,2082852515.2110903,31.93065,0.04195,0.25,2.60140017745e-05,27.40655213776499
3827754730.9937553,2082852520.4350436,31.93049,0.04132,0.25,2.601399705983e-05,27.40644206195714
3827754736.1917076,2082852525.6329958,31.93035,0.04087,0.25,2.601399630226e-05,27.406424374577963
3827754741.4286904,2082852530.8699787,31.93043,0.0409,0.25,2.601400111283e-05,27.406536689421277
3827754746.6066217,2082852536.04791,31.93065,0.04087,0.25,2.601400825321e-05,27.40670339941816
3827754751.798567,2082852541.239855,31.542,0.042,0.25,2.599954992049e-05,27.068856979560522
3827754757.0955477,2082852546.536836,31.0898,0.041,0.25,2.599459312041e-05,26.952902578621828
3827754762.372514,2082852551.813802,31.986,0.04,0.25,2.602232506325e-05,27.600787246254775
3827754767.7044225,2082852557.1457107,32.57205,0.0438,0.25,2.602821620054e-05,27.73815261233402
3827754772.9783754,2082852562.4196637,32.5955,0.04346,0.25,2.602815313262e-05,27.73668253149772
3827754778.2063303,2082852567.6476185,33.4559,0.045,0.25,2.604800537028e-05,28.1989025688526
3827754783.5372944,2082852572.9785826,33.54887,0.04462,0.25,2.604777590272e-05,28.193565887414433
3827754788.7732954,2082852578.2145836,33.54748,0.044,0.25,2.604772777952e-05,28.19244667788536
3827754793.93925,2082852583.3805382,33.54591,0.044,0.25,2.604770072997e-05,28.191817579140274
3827754799.095169,2082852588.5364573,33.54486,0.043,0.25,2.604768249516e-05,28.191393486099813
3827754804.3191557,2082852593.760444,33.54432,0.044,0.25,2.604767443311e-05,28.191205984038817
3827754809.506077,2082852598.947365,33.54409,0.045,0.25,2.604767070701e-05,28.191119324702598
3827754814.698068,2082852604.1393564,33.54407,0.0452,0.25,2.604766910023e-05,28.191081955192583
3827754819.8789797,2082852609.320268,33.54403,0.0454,0.25,2.604766568031e-05,28.19100241675469
3827754825.0669346,2082852614.5082228,33.54389,0.0457,0.25,2.60476611641e-05,28.19089738141688
3827754830.275916,2082852619.7172043,33.54395,0.0456,0.25,2.604766203052e-05,28.190917532104347
3827754835.479924,2082852624.9212124,33.54417,0.0455,0.25,2.604766372787e-05,28.19095700806802
3827754840.648877,2082852630.0901654,33.54432,0.0448,0.25,2.604766652081e-05,28.191021964599866
3827754845.8068275,2082852635.2481158,33.54449,0.0442,0.25,2.604766934081e-05,28.19108755045605
3827754851.036783,2082852640.4780715,33.54473,0.0444,0.25,2.604767505872e-05,28.191220534086828
3827754856.2091913,2082852645.6504796,33.5451,0.0454,0.25,2.604768144585e-05,28.19136908192117
3827754861.3651686,2082852650.8064568,33.54541,0.0448,0.25,2.604768550679e-05,28.191463528641506
3827754866.600086,2082852656.0413744,33.54563,0.0444,0.25,2.604769009514e-05,28.191570241470128
3827754871.7960386,2082852661.2373269,33.54568,0.0439,0.25,2.604769090198e-05,28.1915890064187
3827754876.9839916,2082852666.4252799,33.54566,0.0436,0.25,2.604769238715e-05,28.191623547511163
3827754882.2149434,2082852671.6562316,33.54569,0.044,0.25,2.604769310783e-05,28.191640308603446
3827754887.443899,2082852676.8851874,33.54561,0.0441,0.25,2.604769172707e-05,28.191608195811842
3827754892.634918,2082852682.0762064,33.54561,0.0446,0.25,2.604769130307e-05,28.191598334702768
3827754897.824875,2082852687.266163,33.54546,0.0448,0.25,2.604768760003e-05,28.191512211848604
3827754903.026821,2082852692.4681094,33.54509,0.0454,0.25,2.604767694271e-05,28.191264350747318
3827754908.224779,2082852697.6660674,33.54456,0.0454,0.25,2.604766639784e-05,28.191019104637487
3827754913.4567637,2082852702.898052,33.54443,0.0452,0.25,2.604766194435e-05,28.190915528013168
3827754918.654704,2082852708.0959923,33.54433,0.0449,0.25,2.604765900619e-05,28.190847194004736
3827754923.8176336,2082852713.2589219,33.54433,0.0445,0.25,2.604765958514e-05,28.190860658887324
3827754929.0265894,2082852718.4678776,33.5444,0.044,0.25,2.604766148079e-05,28.190904746807075
3827754934.249547,2082852723.6908352,33.54432,0.0436,0.25,2.604766015409e-05,28.190873891194908
3827754939.4095025,2082852728.8507907,33.54397,0.0438,0.25,2.604765331361e-05,28.190714799239696
3827754944.6184516,2082852734.0597398,33.54362,0.0442,0.25,2.604764750267e-05,28.190579651636416
3827754949.8533998,2082852739.294688,33.54331,0.0447,0.25,2.604764012445e-05,28.190408052978647
3827754955.098354,2082852744.539642,33.54314,0.0452,0.25,2.604763759626e-05,28.1903492536669
3827754960.271309,2082852749.7125971,33.54313,0.0454,0.25,2.604763589904e-05,28.190309780608413
3827754965.4622636,2082852754.9035518,33.5431,0.0453,0.25,2.604763323326e-05,28.190247781270383
3827754970.6732187,2082852760.114507,33.54302,0.0452,0.25,2.604763001318e-05,28.190172890283193
3827754975.874202,2082852765.31549,33.54292,0.0446,0.25,2.604762724883e-05,28.190108598411168
3827754981.0771265,2082852770.5184147,33.5426,0.0442,0.25,2.604762002202e-05,28.189940520776137
3827754986.2830744,2082852775.7243626,33.54226,0.0438,0.25,2.604761427578e-05,28.189806877419084
3827754991.4450617,2082852780.88635,33.54199,0.0437,0.25,2.604761119415e-05,28.189735206276406
3827754996.65098,2082852786.0922682,33.541796,0.0439,0.25,2.604760847317e-05,28.189671922945625
3827755001.964938,2082852791.4062264,33.541641,0.04438,0.25,2.604760536063e-05,28.18959953286401
3827755007.1408844,2082852796.5821726,33.541336,0.04485,0.25,2.604759929258e-05,28.189458404760796
3827755012.311842,2082852801.7531302,33.541065,0.04517,0.25,2.604759073655e-05,28.18925941211905
3827755017.506831,2082852806.9481194,33.540604,0.04549,0.25,2.604758117624e-05,28.189037062113396
3827755022.7287493,2082852812.1700375,33.540205,0.0446,0.25,2.604757301192e-05,28.18884717931194
3827755027.9312205,2082852817.3725088,33.539789,0.0436,0.25,2.604756732507e-05,28.188714916506445
3827755033.114181,2082852822.5554693,33.539273,0.04449,0.25,2.604755525272e-05,28.18843414164744
3827755038.3491335,2082852827.7904217,33.53861,0.04509,0.25,2.604754427534e-05,28.18817883291314
3827755043.5650787,2082852833.006367,33.53838,0.04567,0.25,2.60475383107e-05,28.18804010890344
3827755048.745039,2082852838.1863272,33.53841,0.04581,0.25,2.604753770097e-05,28.188025927959952
3827755053.982991,2082852843.4242795,33.53857,0.04548,0.25,2.604753868275e-05,28.18804876194612
3827755059.1909404,2082852848.6322286,33.53878,0.04491,0.25,2.604754204535e-05,28.188126968410355
3827755064.3828974,2082852853.8241856,33.53882,0.04421,0.25,2.604754294722e-05,28.188147943859846
3827755069.5778494,2082852859.0191376,33.53879,0.04365,0.25,2.604754136832e-05,28.188111222227537
3827755074.785801,2082852864.2270892,33.53853,0.04351,0.25,2.604753745392e-05,28.188020182134363
3827755079.9767885,2082852869.4180768,33.53833,0.04362,0.25,2.604753717375e-05,28.1880136660121
3827755085.164711,2082852874.6059992,33.53867,0.04396,0.25,2.604754662781e-05,28.188233546008217
3827755090.3746605,2082852879.8159487,33.53928,0.04475,0.25,2.604755800972e-05,28.188498263106858
3827755095.5836163,2082852885.0249045,33.53994,0.04533,0.25,2.604757011124e-05,28.18877971630283
3827755100.75957,2082852890.2008584,33.54062,0.04548,0.25,2.604758118202e-05,28.189037196542472
3827755105.9595213,2082852895.4008095,33.54128,0.04578,0.25,2.604759179375e-05,28.189284000054307
3827755111.1245136,2082852900.5658019,33.54182,0.04526,0.25,2.604759963802e-05,28.1894664388587
3827755116.3204274,2082852905.7617157,33.54223,0.04442,0.25,2.60476082747e-05,28.189667307018762
3827755121.4933805,2082852910.9346688,33.54265,0.04448,0.25,2.604761441619e-05,28.189810143010146
3827755126.7304077,2082852916.171696,33.54262,0.0437,0.25,2.604761232755e-05,28.18976156637878
3827755131.9163914,2082852921.3576796,33.54239,0.04354,0.25,2.604761110017e-05,28.18973302053215
3827755137.1003084,2082852926.5415967,33.54229,0.04374,0.25,2.604761097002e-05,28.189729993562292
3827755142.2822647,2082852931.723553,33.54235,0.04401,0.25,2.604761459641e-05,28.189814334483685
3827755147.468217,2082852936.9095051,33.54246,0.04467,0.25,2.604761588411e-05,28.189844283213464
3827755152.7051687,2082852942.146457,33.54247,0.04539,0.25,2.604761470016e-05,28.189816747453268
3827755157.9371185,2082852947.3784068,33.54249,0.04548,0.25,2.604761286887e-05,28.189774156152282
3827755163.1031075,2082852952.5443957,33.54256,0.04548,0.25,2.60476124705e-05,28.189764891044703
3827755168.2880235,2082852957.7293117,33.54261,0.04529,0.25,2.60476114109e-05,28.189740247349807
3827755173.4880166,2082852962.9293048,33.54262,0.04447,0.25,2.604761164623e-05,28.189745720548096
3827755178.6559896,2082852968.0972779,33.54272,0.04438,0.25,2.604761254791e-05,28.18976669141122
3827755183.8249464,2082852973.2662346,33.54254,0.0437,0.25,2.604760905497e-05,28.18968545419048
3827755189.0078964,2082852978.4491847,33.54224,0.04384,0.25,2.60476056366e-05,28.189605951253462
3827755194.2338457,2082852983.675134,33.54221,0.04391,0.25,2.604760701653e-05,28.18963804505862
3827755199.461802,2082852988.9030902,33.5421,0.04404,0.25,2.604760551047e-05,28.18960301777718
3827755204.636756,2082852994.0780442,33.542,0.0446,0.25,2.60476030125e-05,28.189544921075612
3827755209.8347125,2082852999.2760007,33.54188,0.04538,0.25,2.604760087098e-05,28.189495114520145
3827755215.015661,2082853004.456949,33.54187,0.04579,0.25,2.604759822207e-05,28.1894335072883
3827755220.198614,2082853009.6399024,33.54173,0.04582,0.25,2.604759227378e-05,28.18929516439929
3827755225.3815675,2082853014.8228557,33.54143,0.04521,0.25,2.604758427455e-05,28.189109121440104
