#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 23000
#	start frequency (Hz): 22500
#	Frequency Step (Hz): 1
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	Tek AFG addr: 0::1
#Data:
UTC,timestamp,f,X_1,Y_1,X_2,Y_2
1717532412.4965234,928.1230962276459,22801.0,1.76431e-05,0.000297191,-2.91324e-13,1.94903e-11
1717532415.5584462,931.1850190162659,22802.0,1.83583e-05,0.000298502,-6.03965e-13,1.78241e-11
1717532418.6211474,934.2477202415466,22803.0,1.76431e-05,0.000300171,-8.91735e-13,1.90853e-11
1717532421.682783,937.3093557357788,22804.0,1.7047e-05,0.000302793,-1.74084e-13,1.97887e-11
1717532424.743084,940.3696568012238,22805.0,1.71663e-05,0.000303628,-7.60284e-13,1.95223e-11
1717532427.8086395,943.4352123737335,22806.0,1.75239e-05,0.000304582,-7.74495e-13,1.96537e-11
1717532430.8690126,946.4955854415894,22807.0,1.7047e-05,0.000306608,-1.14398e-12,1.94548e-11
1717532433.9326398,949.5592126846313,22808.0,1.69278e-05,0.000306966,-1.82256e-12,2.07906e-11
1717532436.9956558,952.6222286224365,22809.0,1.63318e-05,0.000308158,-7.88706e-13,1.97639e-11
1717532440.0567708,955.6833436489105,22810.0,1.6451e-05,0.000309588,-2.56507e-12,1.98598e-11
1717532443.1205275,958.747100353241,22811.0,1.69278e-05,0.00031078,-1.32162e-12,1.94477e-11
1717532446.1838171,961.810389995575,22812.0,1.63318e-05,0.000311138,-4.26328e-14,2.05455e-11
1717532449.2459252,964.8724980354309,22813.0,1.59742e-05,0.00031233,-1.50636e-12,2.0581e-11
1717532452.3068864,967.9334592819214,22814.0,1.69278e-05,0.000314238,-1.77637e-14,1.96537e-11
1717532455.367649,970.9942219257355,22815.0,1.62126e-05,0.000314595,-5.68439e-14,2.04744e-11
1717532458.431926,974.0584988594055,22816.0,1.59742e-05,0.00031543,-1.11201e-12,2.10855e-11
1717532461.4927137,977.1192865371704,22817.0,1.53781e-05,0.00031686,-1.02319e-12,2.12667e-11
1717532464.554774,980.1813468933105,22818.0,1.59742e-05,0.000316741,-5.47121e-13,2.13732e-11
1717532467.6191416,983.2457144260406,22819.0,1.57357e-05,0.000318171,-1.15464e-12,1.95187e-11
1717532470.6816456,986.3082184791565,22820.0,1.60934e-05,0.000319006,-2.57218e-12,2.06201e-11
1717532473.7446022,989.3711750507355,22821.0,1.59742e-05,0.000319602,-7.17652e-13,2.16184e-11
1717532476.8051264,992.4316992759705,22822.0,1.53781e-05,0.000321152,-9.69898e-13,2.1494e-11
1717532479.8670666,995.4936394691467,22823.0,1.57357e-05,0.000321629,-1.06937e-12,2.06947e-11
1717532482.9289696,998.5555424690247,22824.0,1.51396e-05,0.000322344,-7.70942e-13,2.19665e-11
1717532485.9937723,1001.6203451156616,22825.0,1.53781e-05,0.00032294,-1.22569e-12,2.1057e-11
1717532489.0578928,1004.6844656467438,22826.0,1.56165e-05,0.000323536,-1.1049e-12,2.07195e-11
1717532492.1212943,1007.7478671073914,22827.0,1.52589e-05,0.00032437,-2.18493e-12,1.99664e-11
1717532495.182762,1010.8093347549438,22828.0,1.52589e-05,0.000324609,-8.02917e-13,2.2098e-11
1717532498.245507,1013.8720798492432,22829.0,1.54973e-05,0.000325682,-5.79096e-13,1.98953e-11
1717532501.304634,1016.9312069416046,22830.0,1.52589e-05,0.000326278,-1.54899e-12,2.04531e-11
1717532504.366619,1019.9931919574738,22831.0,1.46628e-05,0.000327351,-3.05535e-13,2.0819e-11
1717532507.431399,1023.0579719543457,22832.0,1.50204e-05,0.000327947,-1.35359e-12,2.21193e-11
1717532510.4931402,1026.1197130680084,22833.0,1.54973e-05,0.000328662,-7.14099e-13,2.09256e-11
1717532513.5546355,1029.181208372116,22834.0,1.52589e-05,0.000329377,-8.63313e-13,2.16859e-11
1717532516.6182418,1032.2448146343231,22835.0,1.53781e-05,0.000329377,-5.68439e-14,2.23431e-11
1717532519.6816874,1035.3082602024078,22836.0,1.50204e-05,0.000330212,-1.04806e-12,2.06023e-11
1717532522.7483642,1038.3749370574951,22837.0,1.49012e-05,0.000331165,-1.17951e-12,2.14052e-11
1717532525.8084824,1041.43505525589,22838.0,1.4782e-05,0.000331165,-6.43045e-13,2.14194e-11
1717532528.8700042,1044.4965770244598,22839.0,1.50204e-05,0.000331404,-1.5561e-12,2.15118e-11
1717532531.9312787,1047.5578515529633,22840.0,1.50204e-05,0.000332596,-1.21504e-12,2.0748e-11
1717532534.9943826,1050.6209554672241,22841.0,1.45436e-05,0.000332834,-1.07648e-12,2.22259e-11
1717532538.0562475,1053.6828203201294,22842.0,1.49012e-05,0.000333311,-2.13519e-12,2.14336e-11
1717532541.1174965,1056.7440693378448,22843.0,1.45436e-05,0.000333311,-1.2399e-12,2.15011e-11
1717532544.1806078,1059.8071806430817,22844.0,1.50204e-05,0.000334146,-7.92259e-13,2.13732e-11
1717532547.2426066,1062.8691794872284,22845.0,1.49012e-05,0.000334146,-1.26833e-12,2.14265e-11
1717532550.314608,1065.9411809444427,22846.0,1.4782e-05,0.00033498,-1.27543e-12,2.12311e-11
1717532553.3774529,1069.0040256977081,22847.0,1.52589e-05,0.000335338,-7.10546e-13,2.09966e-11
1717532556.43948,1072.0660529136658,22848.0,1.46628e-05,0.000336172,-5.79096e-13,2.12809e-11
1717532559.5034847,1075.1300575733185,22849.0,1.43052e-05,0.000336053,-1.19727e-12,2.19275e-11
1717532562.5670712,1078.1936440467834,22850.0,1.43052e-05,0.000337126,-6.28834e-13,2.20376e-11
1717532565.630606,1081.2571787834167,22851.0,1.49012e-05,0.000337007,-9.45029e-13,2.23183e-11
1717532568.6907446,1084.3173174858093,22852.0,1.50204e-05,0.00033796,-1.01608e-12,2.12276e-11
1717532571.7533357,1087.3799085617065,22853.0,1.44244e-05,0.000338437,-2.29151e-12,2.11174e-11
1717532574.8153422,1090.4419150352478,22854.0,1.45436e-05,0.000338079,-7.14099e-13,2.18955e-11
1717532577.8778918,1093.5044646263123,22855.0,1.45436e-05,0.000338675,-1.03029e-12,2.23787e-11
1717532580.9418542,1096.5684270858765,22856.0,1.46628e-05,0.000339629,-1.79057e-12,2.22934e-11
1717532584.0046737,1099.6312465667725,22857.0,1.4186e-05,0.00033951,-5.89754e-13,2.15189e-11
1717532587.068193,1102.6947658061981,22858.0,1.45436e-05,0.000339748,9.2371e-14,2.17925e-11
1717532590.1312258,1105.7577986717224,22859.0,1.43052e-05,0.000341179,1.81189e-13,2.19701e-11
1717532593.1927755,1108.819348335266,22860.0,1.50204e-05,0.000340225,-1.10845e-12,2.19204e-11
1717532596.2528353,1111.879408121109,22861.0,1.44244e-05,0.00034094,-1.58807e-12,2.0748e-11
1717532599.3158755,1114.9424483776093,22862.0,1.49012e-05,0.000341536,-8.9884e-13,2.22188e-11
1717532602.3814416,1118.0080144405365,22863.0,1.40668e-05,0.000341656,-1.14043e-12,2.1121e-11
1717532605.4432793,1121.0698521137238,22864.0,1.46628e-05,0.000342013,-1.4957e-12,2.19701e-11
1717532608.5043356,1124.1309084892273,22865.0,1.37091e-05,0.000342729,-1.6307e-12,2.04069e-11
1717532611.5663872,1127.19296002388,22866.0,1.39475e-05,0.000342252,-1.24346e-12,2.15189e-11
1717532614.6289682,1130.255541086197,22867.0,1.39475e-05,0.000342609,-1.33938e-12,2.20838e-11
1717532617.6946611,1133.3212339878082,22868.0,1.49012e-05,0.000343563,3.30404e-13,2.1526e-11
1717532620.75567,1136.3822429180145,22869.0,1.43052e-05,0.000343563,-1.12622e-12,2.22472e-11
1717532623.817633,1139.4442057609558,22870.0,1.39475e-05,0.000343801,-1.04095e-12,2.01866e-11
1717532626.8806684,1142.5072412490845,22871.0,1.49012e-05,0.00034404,-1.97888e-12,2.267e-11
1717532629.9441624,1145.5707352161407,22872.0,1.40668e-05,0.000345113,4.36986e-13,2.11494e-11
1717532633.0056841,1148.6322569847107,22873.0,1.46628e-05,0.000344874,-5.64885e-13,2.22294e-11
1717532636.0682802,1151.694853067398,22874.0,1.44244e-05,0.000345232,-6.21728e-13,2.23183e-11
1717532639.1322985,1154.7588713169098,22875.0,1.43052e-05,0.000345351,-4.15669e-13,2.24888e-11
1717532642.1933107,1157.8198835849762,22876.0,1.39475e-05,0.00034559,-1.28964e-12,2.20838e-11
1717532645.2553542,1160.8819270133972,22877.0,1.44244e-05,0.000346066,-6.03965e-13,2.26202e-11
1717532648.3184986,1163.9450714588165,22878.0,1.39475e-05,0.000346066,-7.92259e-13,2.22756e-11
1717532651.389181,1167.0157537460327,22879.0,1.43052e-05,0.000346305,-9.98319e-13,2.28725e-11
1717532654.4507847,1170.0773575305939,22880.0,1.46628e-05,0.000347259,-1.48504e-12,2.12382e-11
1717532657.514827,1173.141399860382,22881.0,1.44244e-05,0.000347259,-1.20793e-12,2.20234e-11
1717532660.5782862,1176.2048590183258,22882.0,1.4782e-05,0.000347616,-1.6307e-12,2.23254e-11
1717532663.6415937,1179.2681665420532,22883.0,1.44244e-05,0.000347139,-1.74084e-13,2.17925e-11
1717532666.7031126,1182.3296854496002,22884.0,1.44244e-05,0.000347616,9.2016e-13,2.10073e-11
1717532669.7642186,1185.3907914161682,22885.0,1.43052e-05,0.000348093,-6.32387e-13,2.16077e-11
1717532672.8282304,1188.4548032283783,22886.0,1.4186e-05,0.000348331,-1.7586e-12,2.17498e-11
1717532675.8927524,1191.5193252563477,22887.0,1.45436e-05,0.000347974,-1.19372e-12,2.13946e-11
1717532678.953866,1194.5804388523102,22888.0,1.37091e-05,0.000347974,-1.1653e-12,2.13946e-11
1717532682.015901,1197.642473936081,22889.0,1.4782e-05,0.000349047,-6.07518e-13,2.22827e-11
1717532685.0789356,1200.7055084705353,22890.0,1.4186e-05,0.000349285,-3.01982e-13,2.25563e-11
1717532688.1413517,1203.7679245471954,22891.0,1.39475e-05,0.000349643,0.0,2.20163e-11
1717532691.198943,1206.8255157470703,22892.0,1.44244e-05,0.000349523,-1.10135e-13,2.18955e-11
1717532694.2615643,1209.888137102127,22893.0,1.37091e-05,0.000349166,1.06582e-13,2.15438e-11
1717532697.3215723,1212.9481451511383,22894.0,1.45436e-05,0.000349881,-1.31096e-12,2.22472e-11
1717532700.3896532,1216.016226053238,22895.0,1.44244e-05,0.000349762,-1.68044e-12,2.21264e-11
1717532703.4527547,1219.079327583313,22896.0,1.44244e-05,0.000350954,-4.2988e-13,2.23147e-11
1717532706.5149083,1222.1414811611176,22897.0,1.4782e-05,0.000350716,-8.66866e-13,2.17072e-11
1717532709.578518,1225.2050907611847,22898.0,1.39475e-05,0.000349881,-5.5778e-13,2.20554e-11
1717532712.6397648,1228.266337633133,22899.0,1.43052e-05,0.000351073,-2.9843e-13,2.20411e-11
1717532715.703286,1231.3298587799072,22900.0,1.46628e-05,0.000350477,-1.55254e-12,2.18884e-11
1717532718.7674072,1234.3939800262451,22901.0,1.46628e-05,0.000352027,-3.65931e-13,2.19559e-11
1717532721.8289275,1237.4555003643036,22902.0,1.50204e-05,0.000351669,-6.92783e-13,2.32562e-11
1717532724.8914883,1240.5180611610413,22903.0,1.4782e-05,0.00035155,-9.69898e-13,2.23289e-11
1717532727.9530137,1243.57958650589,22904.0,1.39475e-05,0.000352027,-1.57741e-12,2.35653e-11
1717532731.0147572,1246.6413300037384,22905.0,1.49012e-05,0.000351908,-1.5028e-12,2.21655e-11
1717532734.0788102,1249.7053830623627,22906.0,1.44244e-05,0.000352623,-6.43045e-13,2.25989e-11
1717532737.1408787,1252.7674515247345,22907.0,1.43052e-05,0.000352742,-1.41043e-12,2.26096e-11
1717532740.207459,1255.8340318202972,22908.0,1.45436e-05,0.000352623,-1.6236e-12,2.28156e-11
1717532743.271717,1258.8982899188995,22909.0,1.44244e-05,0.000352742,-3.05535e-13,2.32562e-11
1717532746.3340838,1261.9606566429138,22910.0,1.49012e-05,0.000352742,-3.73037e-13,2.24533e-11
1717532749.3961976,1265.0227704048157,22911.0,1.37091e-05,0.000353934,-1.41399e-12,2.375e-11
